Timestamp,Is your birthday on an odd or even day of the month?,"Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in one of the targets.""","Plablo: ""If the ball is dropped from the center, then it will land in one of the targets.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the right, then it will land in the target.""","Plablo: ""If the ball is dropped from the right, then it will land in the target.""","Plablo: ""If the ball is dropped from the right, then it will land in the target.""","Plablo: ""If the ball is dropped from the left, then it will land in the target.""","Plablo: ""If the ball is dropped from the left, then it will land in the target.""","Plablo: ""If the ball is dropped from the left, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the center, then it will land in one of the targets.""","Plablo: ""If the ball is dropped from the center, then it will land in one of the targets.""","Plablo: ""If the ball is dropped from the center, then it will land in the target.""","Plablo: ""If the ball is dropped from the right, then it will land in the target.""","Plablo: ""If the ball is dropped from the right, then it will land in the target.""","Plablo: ""If the ball is dropped from the right, then it will land in the target.""","Plablo: ""If the ball is dropped from the left, then it will land in the target.""","Plablo: ""If the ball is dropped from the left, then it will land in the target.""","Plablo: ""If the ball is dropped from the left, then it will land in the target.""",feels
12/15/2023 14:17:53,Odd,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,katherine's test submission
12/15/2023 14:20:12,Even,,,,,,,,,,,,,,,,,7,6,5,5,4,2,6,5,5,7,7,6,5,7,5,5,katherine's other test submission
12/15/2023 14:32:06,Even,,,,,,,,,,,,,,,,,7,7,6,5,4,1,7,6,5,6,7,6,4,7,7,5,
12/15/2023 14:43:47,Even,,,,,,,,,,,,,,,,,7,7,6,4,4,3,7,7,7,7,7,6,5,7,6,5,
12/15/2023 14:46:11,Even,,,,,,,,,,,,,,,,,7,5,5,3,3,2,4,4,4,5,5,4,3,6,5,4,
12/15/2023 14:47:24,Odd,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
12/15/2023 14:58:38,Odd,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,confooosion
12/15/2023 14:59:27,Even,,,,,,,,,,,,,,,,,7,6,5,4,3,1,6,5,4,6,6,6,4,6,6,4,I think I forgor my previous answers lmao
12/15/2023 15:01:12,Even,,,,,,,,,,,,,,,,,7,6,5,5,4,1,7,5,5,7,7,6,5,7,5,3,balls
12/15/2023 15:01:17,Even,,,,,,,,,,,,,,,,,7,6,6,5,5,4,6,6,5,6,7,7,6,6,6,6,Yoink
12/15/2023 15:01:34,Even,,,,,,,,,,,,,,,,,7,6,5,5,3,2,6,4,3,6,7,6,4,7,6,4,
12/15/2023 15:11:17,Even,,,,,,,,,,,,,,,,,7,7,6,6,4,2,7,6,6,7,7,7,5,7,6,6,
12/15/2023 15:14:06,Even,,,,,,,,,,,,,,,,,7,6,5,4,3,1,6,5,5,6,7,6,5,7,6,4,
12/15/2023 15:34:46,Odd,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,send me the results !!! These questions are fuckigj annoying 
12/15/2023 15:36:38,Odd,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
12/15/2023 15:39:03,Odd,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
12/15/2023 16:12:25,Odd,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,"I guess that when all the slots are targets, “the target” is pretty arbitrary but it is true that the ball will land in a target, therefore being “the target” that my friend is actually referring to."
12/15/2023 16:26:29,Odd,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,
12/15/2023 16:50:31,Even,,,,,,,,,,,,,,,,,7,7,6,5,4,2,7,6,7,6,7,6,5,7,5,6,
12/15/2023 18:01:54,Odd,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,i miss plablo
12/15/2023 18:39:16,Even,,,,,,,,,,,,,,,,,7,7,6,5,4,2,7,6,6,7,7,7,5,7,7,5,apwoeijfaowjfpoawejfpaklfjelkfjapowiejfpoije
12/15/2023 18:40:39,Even,,,,,,,,,,,,,,,,,7,7,5,6,4,2,7,5,6,7,7,7,6,7,6,5,wow you guessed my birthday :D
12/15/2023 20:31:10,Odd,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,
12/15/2023 20:42:48,Even,,,,,,,,,,,,,,,,,7,7,6,4,3,2,6,6,6,7,7,7,4,7,6,5,
12/15/2023 21:16:09,Odd,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,slay all day